PARCodigo,PARNombrePar,PARtipo,PARplazasRotacion,PARplazasResidente,PARplazasDisuasorias,PARdistrito
5006,LUNA TUDESCOS,ROTACIÓN,481,,,CENTRO              
5012,OLAVIDE,ROTACIÓN,397,,,CHAMBERI            
5010,MOSTENSES,ROTACIÓN,361,,,CENTRO              
5000,ALMAGRO,ROTACIÓN,463,,,CHAMBERI            
5020,VILLA DE PARÍS,ROTACIÓN,169,,,CENTRO              
5001,PLAZA DE COLÓN,ROTACIÓN,611,,,CENTRO              
5018,PLAZA DE SANTA ANA,ROTACIÓN,325,,,CENTRO              
423,VELÁZQUEZ JORGE JUAN,MIXTO,548,395,,SALAMANCA           
424,VELÁZQUEZ AYALA,MIXTO,443,230,,SALAMANCA           
110,JACINTO BENAVENTE,MIXTO,276,110,,CENTRO              
114,SEVILLA,MIXTO,649,74,,CENTRO              
714,FUENCARRAL,MIXTO,291,218,,CHAMBERI            
5004,PLAZA DE ESPAÑA,MIXTO,694,106,,MONCLOA-ARAVACA     
422,FELIPE II,MIXTO,1175,615,,SALAMANCA           
5009,MONTALBÁN,MIXTO,130,146,,RETIRO              
5008,PLAZA MAYOR,MIXTO,415,279,,CENTRO              
5002,PLAZA DE LAS CORTES,ROTACIÓN,479,,,CENTRO              
5019,VELÁZQUEZ JUAN BRAVO,ROTACIÓN,371,,,SALAMANCA           
5007,MARQUÉS DE URQUIJO,ROTACIÓN,482,,,MONCLOA-ARAVACA     
111,ARQUITECTO RIBERA (BARCELÓ),MIXTO,318,298,,CENTRO              
113,PLAZA DEL CARMEN (CERRADO),ROTACIÓN,450,,,CENTRO              
5003,DESCALZAS,ROTACIÓN,400,,,CENTRO              
5014,PLAZA DEL REY,ROTACIÓN,170,,,CENTRO              
602,BRASIL,MIXTO,226,402,,TETUAN              
421,RECOLETOS (CERRADO),MIXTO,281,102,,SALAMANCA           
607,CONDESA DE GAVIA,MIXTO,146,79,,TETUAN              
5016,PUERTA DE TOLEDO,ROTACIÓN,240,,,CENTRO              
604,JOSÉ CASTÁN TOBEÑAS,MIXTO,226,43,,TETUAN              
205,RUTILIO GACÍS,RESIDENTES,,605,,ARGANZUELA          
503,PRADILLO I,RESIDENTES,,143,,CHAMARTIN           
501,URUGUAY,RESIDENTES,,246,,CHAMARTIN           
408,MARQUÉS DE ZAFRA,RESIDENTES,,192,,SALAMANCA           
803,RIBADEO,RESIDENTES,,221,,FUENCARRAL-EL PARDO 
606,SOR ÁNGELA DE LA CRUZ,RESIDENTES,,250,,TETUAN              
1508,VITAL AZA,RESIDENTES,,202,,CIUDAD LINEAL       
407,AMÉRICA ESPAÑOLA,RESIDENTES,,282,,SALAMANCA           
405,BOSTON,RESIDENTES,,353,,SALAMANCA           
1606,SANTA SUSANA,RESIDENTES,,329,,HORTALEZA           
406,NARVÁEZ,RESIDENTES,,523,,SALAMANCA           
807,FINISTERRE,RESIDENTES,,305,,FUENCARRAL-EL PARDO 
1002,CAMARENA,RESIDENTES,,192,,LATINA              
1602,CUEVAS DE ALMANZORA,RESIDENTES,,203,,HORTALEZA           
808,LA BAÑEZA,RESIDENTES,,239,,FUENCARRAL-EL PARDO 
804,ISLA DE AROSA,RESIDENTES,,189,,FUENCARRAL-EL PARDO 
502,CLARA DEL REY,RESIDENTES,,179,,CHAMARTIN           
504,CORAZÓN DE MARÍA I,RESIDENTES,,166,,CHAMARTIN           
507,JUAN HURTADO DE MENDOZA,RESIDENTES,,269,,CHAMARTIN           
505,RAFAEL SALGADO,RESIDENTES,,372,,CHAMARTIN           
506,SANTO DOMINGO DE SILOS,RESIDENTES,,252,,CHAMARTIN           
1005,MIRABEL,RESIDENTES,,617,,LATINA              
1007,RAFAEL FINAT,RESIDENTES,,311,,LATINA              
1006,OSA DE LA VEGA,RESIDENTES,,294,,LATINA              
1009,TEMBLEQUE,RESIDENTES,,562,,LATINA              
611,VICENTE GACEO,RESIDENTES,,268,,TETUAN              
612,ÁNGEL CARBAJO,RESIDENTES,,469,,TETUAN              
613,SAN GERMÁN II,MIXTO,419,713,,TETUAN              
605,MÜLLER,RESIDENTES,,139,,TETUAN              
609,PABLO IGLESIAS II,RESIDENTES,,504,,TETUAN              
102,CAMPILLO DEL MUNDO NUEVO,RESIDENTES,,452,,CENTRO              
1412,NUESTRA SEÑORA DE GRACIA,RESIDENTES,,580,,MORATALAZ           
1515,GERARDO CORDÓN,RESIDENTES,,219,,CIUDAD LINEAL       
1414,MARROQUINA,RESIDENTES,,683,,MORATALAZ           
412,GOYA,RESIDENTES,,668,,SALAMANCA           
510,VALPARAISO,RESIDENTES,,582,,CHAMARTIN           
1413,ENCOMIENDA DE PALACIOS,RESIDENTES,,320,,MORATALAZ           
1008,GARCÍA ESCÁMEZ,RESIDENTES,,260,,LATINA              
1001,JOSÉ DE CADALSO,RESIDENTES,,259,,LATINA              
1004,GARROVILLAS,RESIDENTES,,324,,LATINA              
1011,VILLAMANÍN II,RESIDENTES,,307,,LATINA              
706,JOAQUÍN MARÍA LÓPEZ,RESIDENTES,,464,,CHAMBERI            
704,BRAVO MURILLO,RESIDENTES,,629,,CHAMBERI            
1702,MENASALBAS,RESIDENTES,,220,,VILLAVERDE          
1703,BOHEMIOS,RESIDENTES,,340,,VILLAVERDE          
1401,CAÑADA,RESIDENTES,,288,,MORATALAZ           
1402,GARCÍA TAPIA,RESIDENTES,,252,,MORATALAZ           
1410,DARWIN,RESIDENTES,,411,,MORATALAZ           
1409,ARROYO DE LA MEDIA LEGUA,RESIDENTES,,285,,MORATALAZ           
1408,ARROYO FONTARRÓN,RESIDENTES,,307,,MORATALAZ           
1407,CAMINO DE LOS VINATEROS II,RESIDENTES,,477,,MORATALAZ           
1406,CAMINO DE LOS VINATEROS I,RESIDENTES,,249,,MORATALAZ           
1405,MORATALAZ,RESIDENTES,,379,,MORATALAZ           
1404,JUAN FRANCISCO DE LUJÁN I,RESIDENTES,,198,,MORATALAZ           
1403,PICO DE LOS ARTILLEROS,RESIDENTES,,195,,MORATALAZ           
411,ORTEGA Y GASSET I,RESIDENTES,,741,,SALAMANCA           
413,ORTEGA Y GASSET II,RESIDENTES,,549,,SALAMANCA           
303,PEZ VOLADOR,RESIDENTES,,657,,RETIRO              
1107,JACINTO VERDAGUER,RESIDENTES,,545,,CARABANCHEL         
1201,TOMELLOSO,RESIDENTES,,213,,USERA               
1105,ANTONIO LÓPEZ,RESIDENTES,,1111,,CARABANCHEL         
414,ORTEGA Y GASSET III,RESIDENTES,,402,,SALAMANCA           
2002,ESFINGE,RESIDENTES,,777,,SAN BLAS-CANILLEJAS 
306,DOCTOR LAGUNA,RESIDENTES,,537,,RETIRO              
1303,ANDÉVALO,RESIDENTES,,313,,PUENTE DE VALLECAS  
415,ORTEGA Y GASSET IV,RESIDENTES,,369,,SALAMANCA           
305,ANTONIO MAURA,RESIDENTES,,503,,RETIRO              
1802,SANTA EUGENIA,RESIDENTES,,530,,VILLA DE VALLECAS   
1516,JOSÉ DEL HIERRO,RESIDENTES,,647,,CIUDAD LINEAL       
1704,PAN Y TOROS,RESIDENTES,,226,,VILLAVERDE          
208,ESPERANZA,RESIDENTES,,986,,ARGANZUELA          
906,VALLADOLID,RESIDENTES,,421,,MONCLOA-ARAVACA     
204,AGUILÓN,RESIDENTES,,271,,ARGANZUELA          
1803,ALTOS DE LILLO,RESIDENTES,,167,,VILLA DE VALLECAS   
903,ANTONIO MACHADO,RESIDENTES,,339,,MONCLOA-ARAVACA     
404,BRESCIA,RESIDENTES,,399,,SALAMANCA           
401,BRISTOL,RESIDENTES,,317,,SALAMANCA           
402,BRUSELAS,RESIDENTES,,224,,SALAMANCA           
1604,CALANDA,RESIDENTES,,368,,HORTALEZA           
1801,CASTRILLO DE AZA,RESIDENTES,,297,,VILLA DE VALLECAS   
1511,CIDAMÓN,RESIDENTES,,343,,CIUDAD LINEAL       
202,COMANDANTE BENÍTEZ,RESIDENTES,,166,,ARGANZUELA          
1501,CONDADO DE TREVIÑO,RESIDENTES,,195,,CIUDAD LINEAL       
302,ESTRELLA POLAR,RESIDENTES,,401,,RETIRO              
806,FERROL,RESIDENTES,,350,,FUENCARRAL-EL PARDO 
1505,GERMÁN PÉREZ CARRASCO,RESIDENTES,,321,,CIUDAD LINEAL       
810,ISLA DE ONS,RESIDENTES,,667,,FUENCARRAL-EL PARDO 
802,ISLA DE TAVIRA,RESIDENTES,,326,,FUENCARRAL-EL PARDO 
1102,IVÁN DE VARGAS,RESIDENTES,,199,,CARABANCHEL         
1513,JOSÉ LUIS ARRESE,RESIDENTES,,380,,CIUDAD LINEAL       
203,JUAN DE VERA,RESIDENTES,,512,,ARGANZUELA          
1902,LARDERO,RESIDENTES,,382,,VICALVARO           
410,MALDONADO,RESIDENTES,,721,,SALAMANCA           
1605,MANIZALES,RESIDENTES,,401,,HORTALEZA           
805,MARCOS DE ORUETA,RESIDENTES,,196,,FUENCARRAL-EL PARDO 
1507,MARQUÉS DE CORBERA II,RESIDENTES,,203,,CIUDAD LINEAL       
1504,MARQUÉS DE CORBERA I,RESIDENTES,,287,,CIUDAD LINEAL       
1101,MERCEDES ARTEAGA (CANTORIA),RESIDENTES,,217,,CARABANCHEL         
1509,MISTERIOS,RESIDENTES,,183,,CIUDAD LINEAL       
809,MONDARIZ,RESIDENTES,,282,,FUENCARRAL-EL PARDO 
601,MONTEVIDEO,RESIDENTES,,290,,TETUAN              
301,NIÑO JESÚS,RESIDENTES,,404,,RETIRO              
705,PABLO IGLESIAS I,RESIDENTES,,180,,CHAMBERI            
1103,PEDRO YAGÜE,RESIDENTES,,198,,CARABANCHEL         
304,PÍO BAROJA I,RESIDENTES,,495,,RETIRO              
1415,PÍO BAROJA II,RESIDENTES,,268,,MORATALAZ           
1512,PLATÓN,RESIDENTES,,218,,CIUDAD LINEAL       
1301,PUERTO DEL MONASTERIO,RESIDENTES,,244,,PUENTE DE VALLECAS  
811,RAMÓN GÓMEZ DE LA SERNA,RESIDENTES,,597,,FUENCARRAL-EL PARDO 
812,REDONDELA,RESIDENTES,,661,,FUENCARRAL-EL PARDO 
509,RAMOS CARRIÓN,RESIDENTES,,579,,CHAMARTIN           
603,SAN AMARO,RESIDENTES,,220,,TETUAN              
1701,SAN AURELIANO,RESIDENTES,,194,,VILLAVERDE          
701,SAN FRANCISCO DE SALES I,RESIDENTES,,284,,CHAMBERI            
608,SAN GERMÁN,RESIDENTES,,243,,TETUAN              
1506,SAN LAMBERTO,RESIDENTES,,225,,CIUDAD LINEAL       
1601,SANTA VIRGILIA,RESIDENTES,,330,,HORTALEZA           
1603,VILLA ROSA (PEDROÑERAS),RESIDENTES,,205,,HORTALEZA           
1901,VILLACARLOS,RESIDENTES,,316,,VICALVARO           
1514,VILLAESCUSA,RESIDENTES,,228,,CIUDAD LINEAL       
1003,VILLAMANÍN I,RESIDENTES,,195,,LATINA              
1510,VIRGEN DE LA ALEGRÍA,RESIDENTES,,138,,CIUDAD LINEAL       
206,VIRGEN DEL PUERTO,RESIDENTES,,793,,ARGANZUELA          
1502,VIRGEN DE LA ROCA I,RESIDENTES,,172,,CIUDAD LINEAL       
1503,VIRGEN DE LA ROCA II,RESIDENTES,,203,,CIUDAD LINEAL       
1104,VISTA ALEGRE,RESIDENTES,,402,,CARABANCHEL         
403,GÓMEZ ULLA,RESIDENTES,,191,,SALAMANCA           
702,PÉREZ PILLADO,RESIDENTES,,531,,CHAMBERI            
801,RIBADAVIA,RESIDENTES,,448,,FUENCARRAL-EL PARDO 
902,ROSALES I,RESIDENTES,,315,,MONCLOA-ARAVACA     
905,ROSALES II,RESIDENTES,,696,,MONCLOA-ARAVACA     
703,SAN JUAN DE LA CRUZ,RESIDENTES,,249,,CHAMBERI            
1411,SANCHO DE CÓRDOBA,RESIDENTES,,472,,MORATALAZ           
508,VASCONCELOS,RESIDENTES,,300,,CHAMARTIN           
2101,CANTABRIA,RESIDENTES,,211,,BARAJAS             
1418,AUGUSTO GONZÁLEZ BESADA,RESIDENTES,,275,,MORATALAZ           
1015,ILLESCAS,RESIDENTES,,261,,LATINA              
1014,PABLO CASALS,RESIDENTES,,152,,LATINA              
1519,DOCTOR CIRAJAS,RESIDENTES,,324,,CIUDAD LINEAL       
1113,CAMINO VIEJO DE LEGANÉS,RESIDENTES,,284,,CARABANCHEL         
417,BAVIERA,RESIDENTES,,208,,SALAMANCA           
614,FRANCOS RODRÍGUEZ,RESIDENTES,,296,,TETUAN              
1520,FRANCISCO RIOJA,RESIDENTES,,392,,CIUDAD LINEAL       
708,CHAMBERÍ,RESIDENTES,,690,,CHAMBERI            
907,ROSALES III,RESIDENTES,,733,,MONCLOA-ARAVACA     
908,SAN ANTONIO DE LA FLORIDA,RESIDENTES,,183,,MONCLOA-ARAVACA     
1521,VIRGEN DE LOURDES,RESIDENTES,,296,,CIUDAD LINEAL       
909,OFELIA NIETO,RESIDENTES,,163,,MONCLOA-ARAVACA     
1016,AVENIDA DE LAS AGUILAS,RESIDENTES,,574,,LATINA              
1417,JUAN FRANCISCO DE LUJÁN II,RESIDENTES,,298,,MORATALAZ           
818,ALCAZABA,RESIDENTES,,334,,FUENCARRAL-EL PARDO 
104,SÁNCHEZ BUSTILLO,MIXTO,131,408,,CENTRO              
1018,ALUCHE,RESIDENTES,,208,,LATINA              
711,BLASCO DE GARAY,RESIDENTES,,461,,CHAMBERI            
1517,ANTONIO PIRALA,RESIDENTES,,508,,CIUDAD LINEAL       
1416,ANTONIO MENA,RESIDENTES,,313,,MORATALAZ           
211,ARGANDA,RESIDENTES,,164,,ARGANZUELA          
1302,ARROYO DEL OLIVAR,RESIDENTES,,214,,PUENTE DE VALLECAS  
1109,CODORNIZ,RESIDENTES,,705,,CARABANCHEL         
308,CONDE DE CASAL,RESIDENTES,,1340,,RETIRO              
511,CORAZÓN DE MARÍA II,MIXTO,327,750,,CHAMARTIN           
1608,EMIGRANTES,RESIDENTES,,281,,HORTALEZA           
307,ESTEBAN VILLEGAS,RESIDENTES,,858,,RETIRO              
1111,EUGENIA DE MONTIJO,RESIDENTES,,387,,CARABANCHEL         
707,GALILEO,RESIDENTES,,527,,CHAMBERI            
207,GENERAL LACY,RESIDENTES,,663,,ARGANZUELA          
1108,GUADALETE,RESIDENTES,,290,,CARABANCHEL         
1202,MANUEL NOYA,RESIDENTES,,492,,USERA               
901,MARTÍN DE ALZAGA,RESIDENTES,,565,,MONCLOA-ARAVACA     
1205,MATILDE GAYO,RESIDENTES,,232,,USERA               
1106,OPORTO,RESIDENTES,,456,,CARABANCHEL         
201,PEÑUELAS,RESIDENTES,,239,,ARGANZUELA          
1204,RAFAELA YBARRA,RESIDENTES,,257,,USERA               
312,SAINZ DE BARANDA,RESIDENTES,,565,,RETIRO              
816,SARRIÁ,RESIDENTES,,517,,FUENCARRAL-EL PARDO 
904,VALDERROMÁN,RESIDENTES,,424,,MONCLOA-ARAVACA     
710,CONDE DEL VALLE DE SÚCHIL,RESIDENTES,,1126,,CHAMBERI            
512,REPÚBLICA DOMINICANA,MIXTO,209,892,,CHAMARTIN           
5005,FERNÁNDEZ SHAW,MIXTO,245,350,,RETIRO              
107,ORIENTE,MIXTO,212,511,,CENTRO              
1419,ENCUENTRO,MIXTO,90,371,,MORATALAZ           
617,HERNANI,MIXTO,115,380,,TETUAN              
618,PRESIDENTE CARMONA,MIXTO,127,379,,TETUAN              
2001,MARQUÉS DE SUANCES,RESIDENTES,,339,,SAN BLAS-CANILLEJAS 
712,DOMÉNICO SCARLATTI,RESIDENTES,,480,,CHAMBERI            
416,DÍAZ PORLIER,MIXTO,203,421,,SALAMANCA           
817,MELCHOR FERNÁNDEZ ALMAGRO,RESIDENTES,,250,,FUENCARRAL-EL PARDO 
101,PEDRO ZEROLO,MIXTO,113,261,,CENTRO              
519,AVENIDA DE AMÉRICA,MIXTO,261,395,,CHAMARTIN           
1110,VÍA CARPETANA,RESIDENTES,,309,,CARABANCHEL         
1612,PARQUE DE SANTA MARíA,RESIDENTES,,459,,HORTALEZA           
517,JOSEP PLA,RESIDENTES,,239,,CHAMARTIN           
912,AGUILAR DE CAMPOO,RESIDENTES,,303,,MONCLOA-ARAVACA     
115,AGUSTÍN LARA,RESIDENTES,,350,,CENTRO              
721,ALONSO CANO,RESIDENTES,,433,,CHAMBERI            
1618,BELIANES,RESIDENTES,,161,,HORTALEZA           
1611,BURGO DE OSMA,RESIDENTES,,160,,HORTALEZA           
722,CANAL,RESIDENTES,,112,,CHAMBERI            
418,CASTELLÓ,RESIDENTES,,303,,SALAMANCA           
1614,CHAPARRAL,RESIDENTES,,226,,HORTALEZA           
911,CORONA BOREAL,MIXTO,125,125,,MONCLOA-ARAVACA     
1616,CUMARE,RESIDENTES,,156,,HORTALEZA           
1707,ESPINILLO,RESIDENTES,,155,,VILLAVERDE          
822,FONSAGRADA,RESIDENTES,,253,,FUENCARRAL-EL PARDO 
516,GENERAL GALLEGOS,RESIDENTES,,101,,CHAMARTIN           
723,ISLAS FILIPINAS,RESIDENTES,,397,,CHAMBERI            
409,LAGASCA,RESIDENTES,,327,,SALAMANCA           
819,MORALZARZAL,RESIDENTES,,224,,FUENCARRAL-EL PARDO 
720,MIGUEL ÁNGEL,RESIDENTES,,87,,CHAMBERI            
1020,NAVALMORAL DE LA MATA,RESIDENTES,,204,,LATINA              
515,PANAMÁ,RESIDENTES,,435,,CHAMARTIN           
426,PILAR DE ZARAGOZA,RESIDENTES,,180,,SALAMANCA           
718,REINA VICTORIA,RESIDENTES,,383,,MONCLOA-ARAVACA     
311,REYES MAGOS,MIXTO,323,399,,RETIRO              
717,RÍOS ROSAS,RESIDENTES,,256,,CHAMBERI            
1906,SAN CIPRIANO,RESIDENTES,,149,,VICALVARO           
726,SAN FRANCISCO DE SALES II,RESIDENTES,,447,,CHAMBERI            
518,SAN JUAN DE LA SALLE,RESIDENTES,,254,,CHAMARTIN           
112,SANTA CRUZ,RESIDENTES,,152,,CENTRO              
709,SANTANDER,RESIDENTES,,221,,CHAMBERI            
1622,SOMONTÍN,RESIDENTES,,282,,HORTALEZA           
820,VIRGEN DE ARÁNZAZU,RESIDENTES,,238,,FUENCARRAL-EL PARDO 
5011,MUSEO DE LA CIUDAD,ROTACIÓN,147,,,CHAMARTIN           
1207,ORTIZ CAMPOS,RESIDENTES,,151,,USERA               
427,SAN CAYETANO,MIXTO,222,261,,SALAMANCA           
316,ESPALTER,RESIDENTES,,480,,RETIRO              
917,AZUAGA,RESIDENTES,,260,,MONCLOA-ARAVACA     
2005,MIGUEL YUSTE,MIXTO,168,68,,SAN BLAS-CANILLEJAS 
320,MENORCA,RESIDENTES,,862,,RETIRO              
119,RAMALES,RESIDENTES,,455,,CENTRO              
823,ILUSTRACIÓN,RESIDENTES,,142,,FUENCARRAL-EL PARDO 
918,CÁNDIDO MATEOS,RESIDENTES,,618,,MONCLOA-ARAVACA     
1524,VERDAGUER Y GARCÍA,MIXTO,83,83,,CIUDAD LINEAL       
120,CABESTREROS,RESIDENTES,,360,,CENTRO              
122,CASINO DE LA REINA,MIXTO,131,449,,CENTRO              
319,DAOÍZ Y VELARDE,MIXTO,235,250,,RETIRO              
317,DOCE DE OCTUBRE,RESIDENTES,,694,,RETIRO              
827,GINZO DE LIMIA,RESIDENTES,,97,,FUENCARRAL-EL PARDO 
431,ELVIRA,RESIDENTES,,192,,SALAMANCA           
213,MARQUÉS DE SAMARANCH,RESIDENTES,,233,,ARGANZUELA          
430,FRANCISCO ALTIMIRAS,RESIDENTES,,59,,SALAMANCA           
619,POETA LEOPOLDO DE LUIS,RESIDENTES,,314,,TETUAN              
2006,ILÍADA,RESIDENTES,,333,,SAN BLAS-CANILLEJAS 
610,ORENSE,MIXTO,129,663,,TETUAN              
524,JUAN RAMÓN JIMÉNEZ,RESIDENTES,,401,,CHAMARTIN           
1625,ANDORRA II,RESIDENTES,,280,,HORTALEZA           
1022,AVENIDA DE PORTUGAL,MIXTO,428,445,,LATINA              
420,MARQUÉS DE SALAMANCA,MIXTO,356,70,,SALAMANCA           
5021,NUESTRA SEÑORA DEL RECUERDO,ROTACIÓN,819,,,CHAMARTIN           
5015,PRíNCIPE DE VERGARA (AUDITORIO),ROTACIÓN,376,,,CHAMARTIN           
1525,VIRGEN DEL ROMERO,RESIDENTES,,404,,CIUDAD LINEAL       
525,PRADILLO II,RESIDENTES,,68,,CHAMARTIN           
1023,EL GRECO,RESIDENTES,,225,,LATINA              
432,SERRANO I,MIXTO,307,833,,SALAMANCA           
433,SERRANO II,MIXTO,379,804,,SALAMANCA           
434,SERRANO III,MIXTO,261,725,,SALAMANCA           
321,JUAN ESPLANDIÚ,RESIDENTES,,249,,RETIRO              
116,ALAMEDA (CERRADO),RESIDENTES,,171,,CENTRO              
719,JOSÉ ABASCAL,RESIDENTES,,126,,CHAMBERI            
123,BARCELÓ (MERCADO),RESIDENTES,,554,,CENTRO              
2007,ESTADIO METROPOLITANO,DISUASORIO,,,3011,SAN BLAS-CANILLEJAS 
5022,USERA,ROTACIÓN,36,,,USERA               
1626,FUENTE DE LA MORA,DISUASORIO,,,368,HORTALEZA
828,PITIS,DISUASORIO,,,402,FUENCARRAL-EL PARDO
1024,AVIACIÓN ESPAÑOLA,DISUASORIO,,,379,LATINA
105,PLAZA DE SANTO DOMINGO (CERRADO),MIXTO,0,0,,CENTRO
1114,ISLAZUL,DISUASORIO,,,224,CARABANCHEL
435,ALCÁNTARA,MIXTO,121,254,,SALAMANCA           
5017,SAN EPIFANIO,ROTACIÓN,501,,,ARGANZUELA          
